"This Week in Apps: Android’s Privacy Sandbox, Super Bowl app ads, App Annie rebrands",https://techcrunch.com/2022/02/19/this-week-in-apps-androids-privacy-sandbox-super-bowl-app-ads-app-annie-rebrands/,
"Hire, then wire with a twist",https://techcrunch.com/2022/02/19/hire-then-wire-with-a-twist/,
"When to pivot your product, and a tale of two earnings calls",https://techcrunch.com/2022/02/19/when-to-pivot-your-product-and-a-tale-of-two-earnings-calls/,
Will rising interest rates decimate startup valuations?,https://techcrunch.com/2022/02/19/will-rising-interest-rates-decimate-startup-valuations/,
Arlan Hamilton wants to reroute how startups hire,https://techcrunch.com/2022/02/19/arlan-hamilton-wants-to-reroute-how-startups-hire/,
India’s CRED eyes investment in Amazon-backed Smallcase,https://techcrunch.com/2022/02/18/cred-smallcase/,
Better.com loses more senior execs as employees brace for another mass layoff,https://techcrunch.com/2022/02/18/better-com-loses-more-senior-execs-as-employees-brace-for-another-mass-layoff/,
"Experts Weekly: Recruiting recruiters, crypto marketing, earned media 101",https://techcrunch.com/2022/02/18/experts-weekly-recruiting-recruiters-crypto-marketing-earned-media-101/,
Daily Crunch: Meta fires executive after ‘predator catchers’ interview video goes viral,https://techcrunch.com/2022/02/18/daily-crunch-meta-fires-executive-after-predator-catchers-interview-video-goes-viral/,
Agility Robotics and Playground Global join TechCrunch Live to speak on fundraising robotic delivery,https://techcrunch.com/2022/02/18/agility-robotics-and-playground-global-join-techcrunch-live-to-speak-on-fundraising-robotic-delivery/,
"TechCrunch+ roundup: Fintech investor survey, data-driven fundraising, VC scouting jobs",https://techcrunch.com/2022/02/18/techcrunch-roundup-fintech-investor-survey-data-driven-fundraising-vc-scouting-jobs/,
LG announces the first 50 participants in its LG Nova program,https://techcrunch.com/2022/02/18/lg-nova-first-50/,
"Goodbye Samsung Galaxy Note, hello S22 Ultra",https://techcrunch.com/2022/02/18/goodbye-samsung-galaxy-note-hello-s22-ultra/,
DeepScribe’s Akilesh Bapu and Index Venture’s Nina Achadjian to speak on founder/investor relationships on TCL,https://techcrunch.com/2022/02/18/deepscribes-akilesh-bapu-and-index-ventures-nina-achadjian-to-speak-on-founder-investor-relationships-on-tcl/,
Reusable packaging startup bags $3.1M to pick a fight with single-use packaging,https://techcrunch.com/2022/02/18/returnity-seed-round/,
Extreme H is an upcoming off-road racing series with hydrogen cars,https://techcrunch.com/2022/02/18/extreme-h-is-an-upcoming-off-road-racing-series-with-hydrogen-cars/,
Walmart is expanding autonomous delivery pilot with GM’s Cruise this year,https://techcrunch.com/2022/02/18/gms-self-driving-car-unit-cruise-walmart-pilot/,
The average person doesn’t have a chance with the smart home,https://techcrunch.com/2022/02/18/the-average-person-doesnt-have-a-chance-with-the-smart-home/,
Meta axes a head of global community development after he appears on video in underage sex sting,https://techcrunch.com/2022/02/18/meta-axes-head-of-global-community-development-after-he-appears-on-video-in-underage-sex-sting/,
"For startups, the message is clear: Grow fast or die",https://techcrunch.com/2022/02/18/for-startups-the-message-is-clear-grow-fast-or-die/,
